PDB_ID,Binding_Affinity
3zzf,0.3979400086720376
3gww,0.44977164694490596
1w8l,0.494850021680094
3fqa,0.494850021680094
1zsb,0.6020599913279624
4obv,0.7495799976911061
1wkm,0.8239087409443188
3k41,0.8239087409443188
4eu3,0.8239087409443188
2w97,0.958607314841775
2b1r,0.9956786262173574
2d2v,1.0
1aw1,1.0506099933550872
1maw,1.0969100130080565
4lh2,1.2365720064370627
1f9g,1.275724130399211
1a0t,1.3010299956639813
1b74,1.3010299956639813
2igw,1.3098039199714864
2vl1,1.3467874862246563
3nm6,1.3467874862246563
1qpb,1.3565473235138126
1hty,1.3979400086720375
2hdq,1.3979400086720375
3eor,1.3979400086720375
3e81,1.431798275933005
1utp,1.4436974992327127
4bh4,1.494850021680094
4lh3,1.5228787452803376
3mwe,1.537602002101044
1iig,1.5686362358410126
2b1q,1.585026652029182
1w8m,1.6020599913279623
3itc,1.6020599913279623
1a7t,1.6382721639824072
1hgj,1.6575773191777938
2o9r,1.6777807052660807
4qsw,1.6777807052660807
1d2v,1.6989700043360187
1jou,1.6989700043360187
2sfp,1.6989700043360187
3gf2,1.6989700043360187
2hdr,1.7212463990471711
3vzg,1.7212463990471711
3zst,1.7212463990471711
1u2y,1.744727494896694
4qsx,1.744727494896694
1s8j,1.7695510786217261
4bgx,1.7695510786217261
1ga8,1.7958800173440752
1af6,1.8239087409443189
1bra,1.8239087409443189
1d5r,1.8239087409443189
3eqb,1.8239087409443189
4ahv,1.8239087409443189
1fd7,1.853871964321762
4x8s,1.8860566476931633
1efi,1.9208187539523751
3ehn,1.9208187539523751
4bh3,1.9208187539523751
2gga,1.958607314841775
1gbt,2.0
2bmv,2.0
2hds,2.0
2r58,2.0
3g2y,2.0
3pce,2.0
3rv3,2.0
4qsu,2.0
4qsv,2.0
1jfh,2.0457574905606752
4e4a,2.0457574905606752
5eiw,2.0457574905606752
1njj,2.0969100130080562
4aml,2.0969100130080562
4cs9,2.0969100130080562
1uxb,2.154901959985743
5fe6,2.1605219526258015
4eh8,2.2043284940539785
1icj,2.221848749616356
2aac,2.221848749616356
4aci,2.221848749616356
4x11,2.221848749616356
5hcl,2.221848749616356
5jqb,2.221848749616356
4eh9,2.2633645023131788
5v6u,2.262012673666569
3fu0,2.275069085807602
4ehv,2.2921744316677684
5fnj,2.288192770958809
1inh,2.3010299956639813
1jdj,2.3010299956639813
1uxa,2.3010299956639813
2hdu,2.3010299956639813
3kgq,2.3010299956639813
3pcg,2.3010299956639813
3rv4,2.3010299956639813
4e3d,2.3010299956639813
4jsz,2.3010299956639813
4y0a,2.305394801066431
5aol,2.318758762624413
4aj2,2.3767507096020997
1cam,2.3979400086720375
3pcb,2.3979400086720375
4y38,2.3979400086720375
5os3,2.4256214355869177
2xiy,2.4436974992327127
4eh6,2.459545386328588
5dv4,2.4723700991286615
5jal,2.468521082957745
4ej2,2.4943074925878
1rq2,2.5228787452803374
3bf1,2.5228787452803374
3fq7,2.5228787452803374
3gr2,2.5228787452803374
3mfv,2.5228787452803374
4e3f,2.5228787452803374
5f6u,2.5228787452803374
3b3s,2.5528419686577806
5os0,2.5540845860488766
2wq4,2.5686362358410126
4wef,2.5888855814490954
3fk1,2.616184634019569
4q7w,2.638272163982407
4q8y,2.638272163982407
4y2p,2.657577319177794
5aqj,2.677780705266081
1gym,2.6989700043360187
1lt5,2.6989700043360187
2fzc,2.701146923590293
2krd,2.6989700043360187
2ow6,2.6989700043360187
2uyn,2.6989700043360187
3bra,2.6989700043360187
3fud,2.6989700043360187
3fuf,2.6989700043360187
3fuh,2.6989700043360187
3gk2,2.6989700043360187
3gsg,2.6989700043360187
3hvg,2.6989700043360187
3rqw,2.6989700043360187
3sl0,2.6989700043360187
4wks,2.6989700043360187
4kpz,2.709965388637482
